								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.041	-6.521 to 2.439	No	ns	>0.9999			
								
  Q7WXE2								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8193	-3.661 to 5.299	No	ns	>0.9999			
    Group A vs. Group C	1.157	-3.323 to 5.637	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3375	-4.142 to 4.817	No	ns	>0.9999			
								
  Q7WXE7								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.1204	-4.600 to 4.359	No	ns	>0.9999			
    Group A vs. Group C	0.9919	-3.488 to 5.472	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.112	-3.368 to 5.592	No	ns	>0.9999			
								
  Q7WXF0								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.112	-3.368 to 5.592	No	ns	>0.9999			
    Group A vs. Group C	0.2653	-4.215 to 4.745	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8467	-5.327 to 3.633	No	ns	>0.9999			
								
  Q7WXF4								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.3947	-4.085 to 4.875	No	ns	>0.9999			
    Group A vs. Group C	0.1556	-4.324 to 4.635	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2391	-4.719 to 4.241	No	ns	>0.9999			
								
  Q7WXF5								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.763	-1.717 to 7.243	No	ns	0.9999			
    Group A vs. Group C	3.828	-0.6524 to 8.307	No	ns	0.3727			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.065	-3.415 to 5.544	No	ns	>0.9999			
								
  Q7WXF9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.941	-6.420 to 2.539	No	ns	>0.9999			
    Group A vs. Group C	-2.035	-6.515 to 2.445	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.09421	-4.574 to 4.386	No	ns	>0.9999			
								
  Q7WXG2								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.3733	-4.107 to 4.853	No	ns	>0.9999			
    Group A vs. Group C	0.7066	-3.773 to 5.186	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3333	-4.147 to 4.813	No	ns	>0.9999			
								
  Q7WXG6								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.9687	-5.449 to 3.511	No	ns	>0.9999			
    Group A vs. Group C	-2.449	-6.929 to 2.031	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.480	-5.960 to 3.000	No	ns	>0.9999			
								
  Q7WXG8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5710	-5.051 to 3.909	No	ns	>0.9999			
    Group A vs. Group C	-1.191	-5.671 to 3.289	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.6196	-5.100 to 3.860	No	ns	>0.9999			
								
  Q7WXH0								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.375	-3.105 to 5.854	No	ns	>0.9999			
    Group A vs. Group C	0.9886	-3.491 to 5.468	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3859	-4.866 to 4.094	No	ns	>0.9999			
								
  Q7WXI6								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.492	-2.988 to 5.971	No	ns	>0.9999			
    Group A vs. Group C	1.003	-3.477 to 5.483	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4888	-4.969 to 3.991	No	ns	>0.9999			
								
  Q7WXI7								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.680	-1.800 to 7.160	No	ns	>0.9999			
    Group A vs. Group C	1.543	-2.937 to 6.023	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.137	-5.617 to 3.343	No	ns	>0.9999			
								
  Q7WXL4								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9586	-3.521 to 5.439	No	ns	>0.9999			
    Group A vs. Group C	-0.1020	-4.582 to 4.378	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.061	-5.541 to 3.419	No	ns	>0.9999			
								
  Q7WXL9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.4981	-4.978 to 3.982	No	ns	>0.9999			
    Group A vs. Group C	-0.7484	-5.228 to 3.732	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2503	-4.730 to 4.230	No	ns	>0.9999			
								
  Q7WXM8;Q7WXP0								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8668	-3.613 to 5.347	No	ns	>0.9999			
    Group A vs. Group C	1.171	-3.309 to 5.651	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3045	-4.175 to 4.784	No	ns	>0.9999			
								
  Q7WXM9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.9276	-5.408 to 3.552	No	ns	>0.9999			
    Group A vs. Group C	0.1275	-4.352 to 4.607	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.055	-3.425 to 5.535	No	ns	>0.9999			
								
  Q7WXT8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.7698	-5.250 to 3.710	No	ns	>0.9999			
    Group A vs. Group C	-1.169	-5.649 to 3.311	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3994	-4.879 to 4.080	No	ns	>0.9999			
								
  Q7WXT9								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7110	-3.769 to 5.191	No	ns	>0.9999			
    Group A vs. Group C	0.4758	-4.004 to 4.956	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2351	-4.715 to 4.245	No	ns	>0.9999			
								
  Q7WXU0								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.132	-3.348 to 5.612	No	ns	>0.9999			
    Group A vs. Group C	0.1395	-4.340 to 4.619	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.9927	-5.473 to 3.487	No	ns	>0.9999			
								
								
Test details	Mean 1	Mean 2	Mean Diff.	SE of diff.	N1	N2	t	DF
								
  O07451								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.13	16.90	1.230	1.140	4	4	1.079	1737
    Group A vs. Group C	18.13	16.66	1.467	1.140	4	4	1.287	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.90	16.66	0.2374	1.140	4	4	0.2082	1737
								
  P19924								
    Group A vs. H16 C/N = 50 80 mM formic acid	20.40	18.15	2.243	1.140	4	4	1.967	1737
    Group A vs. Group C	20.40	17.81	2.590	1.140	4	4	2.272	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.15	17.81	0.3478	1.140	4	4	0.3051	1737
								
  P21726								
    Group A vs. H16 C/N = 50 80 mM formic acid	22.53	20.38	2.145	1.140	4	4	1.882	1737
    Group A vs. Group C	22.53	20.86	1.673	1.140	4	4	1.468	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	20.38	20.86	-0.4721	1.140	4	4	0.4141	1737
								
  P22317								
    Group A vs. H16 C/N = 50 80 mM formic acid	22.71	21.38	1.327	1.140	4	4	1.164	1737
    Group A vs. Group C	22.71	21.44	1.266	1.140	4	4	1.111	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	21.38	21.44	-0.06089	1.140	4	4	0.05341	1737
								
  P22318								
    Group A vs. H16 C/N = 50 80 mM formic acid	21.56	20.34	1.220	1.140	4	4	1.070	1737
    Group A vs. Group C	21.56	20.08	1.480	1.140	4	4	1.298	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	20.34	20.08	0.2601	1.140	4	4	0.2282	1737
								
  P22319								
    Group A vs. H16 C/N = 50 80 mM formic acid	20.85	19.46	1.393	1.140	4	4	1.222	1737
    Group A vs. Group C	20.85	19.60	1.255	1.140	4	4	1.101	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	19.46	19.60	-0.1385	1.140	4	4	0.1214	1737
								
  P22320								
    Group A vs. H16 C/N = 50 80 mM formic acid	22.44	21.53	0.9189	1.140	4	4	0.8059	1737
    Group A vs. Group C	22.44	20.96	1.484	1.140	4	4	1.302	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	21.53	20.96	0.5653	1.140	4	4	0.4958	1737
								
  P29267								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.81	17.80	1.011	1.140	4	4	0.8864	1737
    Group A vs. Group C	18.81	18.25	0.5595	1.140	4	4	0.4907	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	17.80	18.25	-0.4511	1.140	4	4	0.3957	1737
								
  P31891								
    Group A vs. H16 C/N = 50 80 mM formic acid	22.67	21.14	1.523	1.140	4	4	1.335	1737
    Group A vs. Group C	22.67	21.28	1.382	1.140	4	4	1.212	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	21.14	21.28	-0.1410	1.140	4	4	0.1237	1737
								
  P31892								
    Group A vs. H16 C/N = 50 80 mM formic acid	21.74	20.49	1.250	1.140	4	4	1.096	1737
    Group A vs. Group C	21.74	21.02	0.7172	1.140	4	4	0.6290	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	20.49	21.02	-0.5324	1.140	4	4	0.4670	1737
								
  P31898								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.99	19.79	-0.7961	1.140	4	4	0.6982	1737
    Group A vs. Group C	18.99	19.65	-0.6586	1.140	4	4	0.5776	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	19.79	19.65	0.1375	1.140	4	4	0.1206	1737
								
  P31900								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.83	16.65	2.186	1.140	4	4	1.918	1737
    Group A vs. Group C	18.83	17.01	1.825	1.140	4	4	1.600	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.65	17.01	-0.3615	1.140	4	4	0.3170	1737
								
  P31901								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.49	16.60	0.8951	1.140	4	4	0.7850	1737
    Group A vs. Group C	17.49	18.10	-0.6067	1.140	4	4	0.5321	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.60	18.10	-1.502	1.140	4	4	1.317	1737
								
  P31902								
    Group A vs. H16 C/N = 50 80 mM formic acid	22.13	21.23	0.9047	1.140	4	4	0.7934	1737
    Group A vs. Group C	22.13	21.69	0.4370	1.140	4	4	0.3833	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	21.23	21.69	-0.4677	1.140	4	4	0.4102	1737
								
  P31905								
    Group A vs. H16 C/N = 50 80 mM formic acid	19.40	18.18	1.226	1.140	4	4	1.075	1737
    Group A vs. Group C	19.40	19.38	0.02514	1.140	4	4	0.02205	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.18	19.38	-1.201	1.140	4	4	1.053	1737
								
  P31909								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.57	16.17	1.395	1.140	4	4	1.224	1737
    Group A vs. Group C	17.57	16.44	1.126	1.140	4	4	0.9877	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.17	16.44	-0.2692	1.140	4	4	0.2361	1737
								
  P31910								
    Group A vs. H16 C/N = 50 80 mM formic acid	19.47	18.99	0.4803	1.140	4	4	0.4213	1737
    Group A vs. Group C	19.47	19.29	0.1773	1.140	4	4	0.1555	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.99	19.29	-0.3030	1.140	4	4	0.2657	1737
								
  P31911								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.79	17.63	1.162	1.140	4	4	1.019	1737
    Group A vs. Group C	18.79	18.20	0.5852	1.140	4	4	0.5132	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	17.63	18.20	-0.5767	1.140	4	4	0.5058	1737
								
  P31914								
    Group A vs. H16 C/N = 50 80 mM formic acid	19.14	18.29	0.8436	1.140	4	4	0.7399	1737
    Group A vs. Group C	19.14	18.07	1.072	1.140	4	4	0.9402	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.29	18.07	0.2284	1.140	4	4	0.2003	1737
								
  P39185								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.29	15.82	1.473	1.140	4	4	1.291	1737
    Group A vs. Group C	17.29	15.95	1.345	1.140	4	4	1.179	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	15.82	15.95	-0.1278	1.140	4	4	0.1121	1737
								
  P39662								
    Group A vs. H16 C/N = 50 80 mM formic acid	19.15	18.89	0.2600	1.140	4	4	0.2280	1737
    Group A vs. Group C	19.15	19.11	0.03776	1.140	4	4	0.03312	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.89	19.11	-0.2222	1.140	4	4	0.1949	1737
								
  P40853								
    Group A vs. H16 C/N = 50 80 mM formic acid	20.01	19.20	0.8144	1.140	4	4	0.7142	1737
    Group A vs. Group C	20.01	18.97	1.042	1.140	4	4	0.9138	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	19.20	18.97	0.2275	1.140	4	4	0.1995	1737
								
  P42721								
    Group A vs. H16 C/N = 50 80 mM formic acid	23.96	23.21	0.7491	1.140	4	4	0.6570	1737
    Group A vs. Group C	23.96	23.48	0.4797	1.140	4	4	0.4207	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	23.21	23.48	-0.2694	1.140	4	4	0.2363	1737
								
  P45805								
    Group A vs. H16 C/N = 50 80 mM formic acid	20.73	19.80	0.9232	1.140	4	4	0.8097	1737
    Group A vs. Group C	20.73	20.02	0.7036	1.140	4	4	0.6171	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	19.80	20.02	-0.2197	1.140	4	4	0.1927	1737
								
  P50320								
    Group A vs. H16 C/N = 50 80 mM formic acid	23.05	21.54	1.511	1.140	4	4	1.325	1737
    Group A vs. Group C	23.05	22.35	0.6975	1.140	4	4	0.6117	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	21.54	22.35	-0.8136	1.140	4	4	0.7136	1737
								
  Q04541								
    Group A vs. H16 C/N = 50 80 mM formic acid	20.76	15.26	5.502	1.140	4	4	4.826	1737
    Group A vs. Group C	20.76	17.26	3.497	1.140	4	4	3.067	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	15.26	17.26	-2.005	1.140	4	4	1.758	1737
								
  Q0JY89								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.11	14.98	2.136	1.140	4	4	1.874	1737
    Group A vs. Group C	17.11	13.62	3.497	1.140	4	4	3.067	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.98	13.62	1.361	1.140	4	4	1.193	1737
								
  Q0JYB7								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.59	14.85	0.7459	1.140	4	4	0.6542	1737
    Group A vs. Group C	15.59	12.07	3.527	1.140	4	4	3.094	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.85	12.07	2.781	1.140	4	4	2.440	1737
								
  Q0JYJ3								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.60	12.93	1.670	1.140	4	4	1.465	1737
    Group A vs. Group C	14.60	14.67	-0.07043	1.140	4	4	0.06177	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.93	14.67	-1.741	1.140	4	4	1.527	1737
								
  Q0JYL9								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.21	12.74	-0.5335	1.140	4	4	0.4679	1737
    Group A vs. Group C	12.21	13.54	-1.330	1.140	4	4	1.167	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.74	13.54	-0.7970	1.140	4	4	0.6990	1737
								
  Q0JYM3								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.97	13.56	-0.5960	1.140	4	4	0.5228	1737
    Group A vs. Group C	12.97	14.58	-1.614	1.140	4	4	1.415	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.56	14.58	-1.018	1.140	4	4	0.8924	1737
								
  Q0JYN0								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.60	14.53	0.07619	1.140	4	4	0.06682	1737
    Group A vs. Group C	14.60	14.18	0.4254	1.140	4	4	0.3731	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.53	14.18	0.3492	1.140	4	4	0.3063	1737
								
  Q0JYP7								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.01	12.86	2.154	1.140	4	4	1.890	1737
    Group A vs. Group C	15.01	14.35	0.6617	1.140	4	4	0.5803	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.86	14.35	-1.493	1.140	4	4	1.309	1737
								
  Q0JZ02								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.12	14.42	-2.305	1.140	4	4	2.022	1737
    Group A vs. Group C	12.12	10.72	1.403	1.140	4	4	1.231	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.42	10.72	3.709	1.140	4	4	3.253	1737
								
  Q0JZ55								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.96	12.18	2.781	1.140	4	4	2.439	1737
    Group A vs. Group C	14.96	12.47	2.488	1.140	4	4	2.183	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.18	12.47	-0.2929	1.140	4	4	0.2569	1737
								
  Q0JZ60								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.91	14.92	-2.013	1.140	4	4	1.766	1737
    Group A vs. Group C	12.91	12.87	0.03451	1.140	4	4	0.03027	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.92	12.87	2.048	1.140	4	4	1.796	1737
								
  Q0JZB2								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.70	13.60	-0.8972	1.140	4	4	0.7869	1737
    Group A vs. Group C	12.70	13.57	-0.8723	1.140	4	4	0.7651	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.60	13.57	0.02483	1.140	4	4	0.02178	1737
								
  Q0JZF7								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.48	18.63	-3.144	1.140	4	4	2.758	1737
    Group A vs. Group C	15.48	17.25	-1.769	1.140	4	4	1.551	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.63	17.25	1.375	1.140	4	4	1.206	1737
								
  Q0JZH2								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.58	12.78	1.804	1.140	4	4	1.582	1737
    Group A vs. Group C	14.58	10.48	4.104	1.140	4	4	3.599	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.78	10.48	2.300	1.140	4	4	2.017	1737
								
  Q0JZL1								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.47	13.06	2.408	1.140	4	4	2.112	1737
    Group A vs. Group C	15.47	12.76	2.706	1.140	4	4	2.374	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.06	12.76	0.2978	1.140	4	4	0.2612	1737
								
  Q0JZR8								
    Group A vs. H16 C/N = 50 80 mM formic acid	19.18	14.28	4.895	1.140	4	4	4.293	1737
    Group A vs. Group C	19.18	13.52	5.656	1.140	4	4	4.961	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.28	13.52	0.7616	1.140	4	4	0.6679	1737
								
  Q0JZV9								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.99	13.54	-0.5585	1.140	4	4	0.4899	1737
    Group A vs. Group C	12.99	15.44	-2.451	1.140	4	4	2.150	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.54	15.44	-1.893	1.140	4	4	1.660	1737
								
  Q0K059								
    Group A vs. H16 C/N = 50 80 mM formic acid	12.82	14.89	-2.074	1.140	4	4	1.819	1737
    Group A vs. Group C	12.82	15.33	-2.518	1.140	4	4	2.208	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.89	15.33	-0.4436	1.140	4	4	0.3890	1737
								
  Q0K0G5								
    Group A vs. H16 C/N = 50 80 mM formic acid	13.03	15.32	-2.292	1.140	4	4	2.010	1737
    Group A vs. Group C	13.03	13.06	-0.02822	1.140	4	4	0.02475	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	15.32	13.06	2.263	1.140	4	4	1.985	1737
								
  Q0K0M2								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.85	13.07	2.780	1.140	4	4	2.438	1737
    Group A vs. Group C	15.85	12.05	3.796	1.140	4	4	3.330	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.07	12.05	1.017	1.140	4	4	0.8917	1737
								
  Q0K0U5								
    Group A vs. H16 C/N = 50 80 mM formic acid	13.93	11.88	2.046	1.140	4	4	1.794	1737
    Group A vs. Group C	13.93	14.70	-0.7727	1.140	4	4	0.6777	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	11.88	14.70	-2.819	1.140	4	4	2.472	1737
								
  Q0K0Y5								
    Group A vs. H16 C/N = 50 80 mM formic acid	13.33	13.38	-0.04767	1.140	4	4	0.04181	1737
    Group A vs. Group C	13.33	13.88	-0.5509	1.140	4	4	0.4832	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.38	13.88	-0.5032	1.140	4	4	0.4413	1737
								
  Q0K0Z5								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.85	14.24	4.607	1.140	4	4	4.041	1737
    Group A vs. Group C	18.85	14.17	4.675	1.140	4	4	4.100	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.24	14.17	0.06779	1.140	4	4	0.05945	1737
								
  Q0K103								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.86	12.25	2.612	1.140	4	4	2.291	1737
    Group A vs. Group C	14.86	13.94	0.9259	1.140	4	4	0.8121	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.25	13.94	-1.686	1.140	4	4	1.479	1737
								
  Q0K106								
    Group A vs. H16 C/N = 50 80 mM formic acid	16.79	14.82	1.973	1.140	4	4	1.730	1737
    Group A vs. Group C	16.79	15.41	1.383	1.140	4	4	1.213	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.82	15.41	-0.5896	1.140	4	4	0.5171	1737
								
  Q0K108								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.16	13.85	4.306	1.140	4	4	3.777	1737
    Group A vs. Group C	18.16	15.95	2.208	1.140	4	4	1.936	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.85	15.95	-2.099	1.140	4	4	1.841	1737
								
  Q0K110								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.55	12.39	3.167	1.140	4	4	2.778	1737
    Group A vs. Group C	15.55	14.04	1.518	1.140	4	4	1.331	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.39	14.04	-1.649	1.140	4	4	1.446	1737
								
  Q0K113								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.89	16.52	1.375	1.140	4	4	1.206	1737
    Group A vs. Group C	17.89	17.68	0.2091	1.140	4	4	0.1834	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.52	17.68	-1.166	1.140	4	4	1.022	1737
								
  Q0K114								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.80	16.84	0.9618	1.140	4	4	0.8436	1737
    Group A vs. Group C	17.80	17.48	0.3212	1.140	4	4	0.2817	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.84	17.48	-0.6406	1.140	4	4	0.5618	1737
								
  Q0K115								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.84	17.56	0.2809	1.140	4	4	0.2463	1737
    Group A vs. Group C	17.84	17.17	0.6661	1.140	4	4	0.5842	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	17.56	17.17	0.3852	1.140	4	4	0.3379	1737
								
  Q0K124								
    Group A vs. H16 C/N = 50 80 mM formic acid	14.99	11.83	3.156	1.140	4	4	2.768	1737
    Group A vs. Group C	14.99	14.23	0.7561	1.140	4	4	0.6631	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	11.83	14.23	-2.400	1.140	4	4	2.105	1737
								
  Q0K125								
    Group A vs. H16 C/N = 50 80 mM formic acid	13.90	12.57	1.328	1.140	4	4	1.165	1737
    Group A vs. Group C	13.90	14.12	-0.2248	1.140	4	4	0.1972	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	12.57	14.12	-1.553	1.140	4	4	1.362	1737
								
  Q0K127								
    Group A vs. H16 C/N = 50 80 mM formic acid	16.71	11.86	4.843	1.140	4	4	4.248	1737
    Group A vs. Group C	16.71	14.08	2.621	1.140	4	4	2.299	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	11.86	14.08	-2.222	1.140	4	4	1.949	1737
								
  Q0K129								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.84	16.16	1.676	1.140	4	4	1.470	1737
    Group A vs. Group C	17.84	16.89	0.9510	1.140	4	4	0.8341	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.16	16.89	-0.7252	1.140	4	4	0.6361	1737
								
  Q0K130								
    Group A vs. H16 C/N = 50 80 mM formic acid	15.38	13.68	1.699	1.140	4	4	1.490	1737
    Group A vs. Group C	15.38	12.84	2.540	1.140	4	4	2.227	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.68	12.84	0.8408	1.140	4	4	0.7374	1737
								
  Q0K132								
    Group A vs. H16 C/N = 50 80 mM formic acid	16.23	14.02	2.205	1.140	4	4	1.934	1737
    Group A vs. Group C	16.23	16.23	-0.004006	1.140	4	4	0.003514	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.02	16.23	-2.209	1.140	4	4	1.938	1737
								
  Q0K135								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.86	18.21	-0.3433	1.140	4	4	0.3011	1737
    Group A vs. Group C	17.86	19.27	-1.404	1.140	4	4	1.231	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	18.21	19.27	-1.060	1.140	4	4	0.9300	1737
								
  Q0K150								
    Group A vs. H16 C/N = 50 80 mM formic acid	16.57	14.50	2.072	1.140	4	4	1.817	1737
    Group A vs. Group C	16.57	14.46	2.113	1.140	4	4	1.854	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.50	14.46	0.04174	1.140	4	4	0.03661	1737
								
  Q0K154								
    Group A vs. H16 C/N = 50 80 mM formic acid	13.79	13.27	0.5158	1.140	4	4	0.4524	1737
    Group A vs. Group C	13.79	12.83	0.9562	1.140	4	4	0.8387	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.27	12.83	0.4404	1.140	4	4	0.3863	1737
								
  Q0K157								
    Group A vs. H16 C/N = 50 80 mM formic acid	18.14	16.67	1.467	1.140	4	4	1.287	1737
    Group A vs. Group C	18.14	17.85	0.2910	1.140	4	4	0.2553	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	16.67	17.85	-1.176	1.140	4	4	1.031	1737
								
  Q0K163								
    Group A vs. H16 C/N = 50 80 mM formic acid	17.87	14.12	3.753	1.140	4	4	3.292	1737
    Group A vs. Group C	17.87	15.59	2.279	1.140	4	4	1.999	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	14.12	15.59	-1.474	1.140	4	4	1.293	1737
								
  Q0K164								
    Group A vs. H16 C/N = 50 80 mM formic acid	16.00	13.09	2.910	1.140	4	4	2.552	1737
    Group A vs. Group C	16.00	14.79	1.215	1.140	4	4	1.066	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	13.09	14.79	-1.695	1.140	4	4	1.486	1737
								
  Q0K166								
    Group A vs. H16 C/N = 50 80 mM formic acid	21.55	19.67	1.875	1.140	4	4	1.644	1737
    Group A vs. Group C	21.55	20.44	1.110	1.140	4	4	0.9731	1737
    H16 C/N = 50 80 mM formic acid vs. Group C	19.67	20.44	-0.7654	1.140	4	4	0.6713	1737
								
  Q0K169								
