								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2809	-4.199 to 4.761	No	ns	>0.9999			
    Group A vs. Group C	0.6661	-3.814 to 5.146	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3852	-4.095 to 4.865	No	ns	>0.9999			
								
  Q0K124								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.156	-1.324 to 7.636	No	ns	0.9635			
    Group A vs. Group C	0.7561	-3.724 to 5.236	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.400	-6.880 to 2.080	No	ns	>0.9999			
								
  Q0K125								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.328	-3.152 to 5.808	No	ns	>0.9999			
    Group A vs. Group C	-0.2248	-4.705 to 4.255	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.553	-6.033 to 2.927	No	ns	>0.9999			
								
  Q0K127								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.843	0.3634 to 9.323	Yes	*	0.0131			
    Group A vs. Group C	2.621	-1.859 to 7.101	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.222	-6.702 to 2.258	No	ns	>0.9999			
								
  Q0K129								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.676	-2.804 to 6.156	No	ns	>0.9999			
    Group A vs. Group C	0.9510	-3.529 to 5.431	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.7252	-5.205 to 3.755	No	ns	>0.9999			
								
  Q0K130								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.699	-2.781 to 6.179	No	ns	>0.9999			
    Group A vs. Group C	2.540	-1.940 to 7.019	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8408	-3.639 to 5.321	No	ns	>0.9999			
								
  Q0K132								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.205	-2.275 to 6.685	No	ns	>0.9999			
    Group A vs. Group C	-0.004006	-4.484 to 4.476	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.209	-6.689 to 2.271	No	ns	>0.9999			
								
  Q0K135								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.3433	-4.823 to 4.137	No	ns	>0.9999			
    Group A vs. Group C	-1.404	-5.884 to 3.076	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.060	-5.540 to 3.420	No	ns	>0.9999			
								
  Q0K150								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.072	-2.408 to 6.552	No	ns	>0.9999			
    Group A vs. Group C	2.113	-2.366 to 6.593	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.04174	-4.438 to 4.522	No	ns	>0.9999			
								
  Q0K154								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.5158	-3.964 to 4.996	No	ns	>0.9999			
    Group A vs. Group C	0.9562	-3.524 to 5.436	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.4404	-4.039 to 4.920	No	ns	>0.9999			
								
  Q0K157								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.467	-3.013 to 5.947	No	ns	>0.9999			
    Group A vs. Group C	0.2910	-4.189 to 4.771	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.176	-5.656 to 3.304	No	ns	>0.9999			
								
  Q0K163								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.753	-0.7268 to 8.233	No	ns	0.4449			
    Group A vs. Group C	2.279	-2.201 to 6.759	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.474	-5.954 to 3.006	No	ns	>0.9999			
								
  Q0K164								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.910	-1.570 to 7.390	No	ns	0.9981			
    Group A vs. Group C	1.215	-3.265 to 5.695	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.695	-6.175 to 2.785	No	ns	>0.9999			
								
  Q0K166								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.875	-2.605 to 6.355	No	ns	>0.9999			
    Group A vs. Group C	1.110	-3.370 to 5.589	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.7654	-5.245 to 3.714	No	ns	>0.9999			
								
  Q0K169								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.317	-2.163 to 6.797	No	ns	>0.9999			
    Group A vs. Group C	1.091	-3.389 to 5.571	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.226	-5.706 to 3.254	No	ns	>0.9999			
								
  Q0K170								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.711	-2.769 to 6.191	No	ns	>0.9999			
    Group A vs. Group C	1.421	-3.059 to 5.901	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2895	-4.769 to 4.190	No	ns	>0.9999			
								
  Q0K191								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.850	0.3704 to 9.330	Yes	*	0.0127			
    Group A vs. Group C	4.300	-0.1803 to 8.780	No	ns	0.0927			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5507	-5.031 to 3.929	No	ns	>0.9999			
								
  Q0K192								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2527	-4.227 to 4.733	No	ns	>0.9999			
    Group A vs. Group C	1.071	-3.409 to 5.551	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8187	-3.661 to 5.299	No	ns	>0.9999			
								
  Q0K194								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.763	-0.7167 to 8.243	No	ns	0.4346			
    Group A vs. Group C	1.816	-2.664 to 6.296	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.947	-6.427 to 2.533	No	ns	>0.9999			
								
  Q0K195								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.030	-2.450 to 6.510	No	ns	>0.9999			
    Group A vs. Group C	4.682	0.2019 to 9.162	Yes	*	0.0241			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.652	-1.828 to 7.132	No	ns	>0.9999			
								
  Q0K198								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.087	-3.393 to 5.566	No	ns	>0.9999			
    Group A vs. Group C	1.950	-2.530 to 6.430	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8635	-3.616 to 5.343	No	ns	>0.9999			
								
  Q0K1A0								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8988	-3.581 to 5.379	No	ns	>0.9999			
    Group A vs. Group C	2.641	-1.839 to 7.121	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.742	-2.738 to 6.222	No	ns	>0.9999			
								
  Q7WXA8;Q0K1A4								
