								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group A vs. Group B	16.73	15.05	1.681	0.8509	4	4	1.976	1442
    Group A vs. Group C	16.73	13.57	3.164	1.042	4	2	3.036	1442
    Group B vs. Group C	15.05	13.57	1.482	1.042	4	2	1.422	1442
								
  Q0JYF7								
    Group A vs. Group B	15.30	14.93	0.3726	0.8509	4	4	0.4379	1442
    Group A vs. Group C	15.30	10.91	4.394	1.042	4	2	4.216	1442
    Group B vs. Group C	14.93	10.91	4.021	1.042	4	2	3.859	1442
								
  Q0JYH2								
    Group A vs. Group B	14.52	12.90	1.612	0.8509	4	4	1.894	1442
    Group A vs. Group C	14.52	14.23	0.2871	1.042	4	2	0.2755	1442
    Group B vs. Group C	12.90	14.23	-1.324	1.042	4	2	1.271	1442
								
  Q0JYK3								
    Group A vs. Group B	14.57	13.28	1.282	0.8509	4	4	1.506	1442
    Group A vs. Group C	14.57	13.86	0.7066	1.042	4	2	0.6780	1442
    Group B vs. Group C	13.28	13.86	-0.5751	1.042	4	2	0.5519	1442
								
  Q0JYV3								
    Group A vs. Group B	14.81	14.63	0.1780	0.8509	4	4	0.2092	1442
    Group A vs. Group C	14.81	14.28	0.5240	1.042	4	2	0.5028	1442
    Group B vs. Group C	14.63	14.28	0.3460	1.042	4	2	0.3320	1442
								
  Q0JYY5								
    Group A vs. Group B	15.41	14.21	1.203	0.8509	4	4	1.413	1442
    Group A vs. Group C	15.41	14.31	1.101	1.042	4	2	1.057	1442
    Group B vs. Group C	14.21	14.31	-0.1014	1.042	4	2	0.09728	1442
								
  Q0JZ07								
    Group A vs. Group B	17.08	15.90	1.181	0.8509	4	4	1.387	1442
    Group A vs. Group C	17.08	13.04	4.042	1.042	4	2	3.878	1442
    Group B vs. Group C	15.90	13.04	2.861	1.042	4	2	2.745	1442
								
  Q0JZ34								
    Group A vs. Group B	14.20	14.47	-0.2636	0.8509	4	4	0.3098	1442
    Group A vs. Group C	14.20	12.89	1.316	1.042	4	2	1.263	1442
    Group B vs. Group C	14.47	12.89	1.579	1.042	4	2	1.516	1442
								
  Q0JZ42								
    Group A vs. Group B	14.14	16.53	-2.386	0.8509	4	4	2.804	1442
    Group A vs. Group C	14.14	16.48	-2.339	1.042	4	2	2.245	1442
    Group B vs. Group C	16.53	16.48	0.04687	1.042	4	2	0.04497	1442
								
  Q0JZB9								
    Group A vs. Group B	15.14	14.36	0.7758	0.8509	4	4	0.9118	1442
    Group A vs. Group C	15.14	17.28	-2.145	1.042	4	2	2.058	1442
    Group B vs. Group C	14.36	17.28	-2.921	1.042	4	2	2.803	1442
								
  Q0JZD6								
    Group A vs. Group B	14.80	16.07	-1.266	0.8509	4	4	1.488	1442
    Group A vs. Group C	14.80	11.91	2.893	1.042	4	2	2.776	1442
    Group B vs. Group C	16.07	11.91	4.159	1.042	4	2	3.991	1442
								
  Q0JZL8								
    Group A vs. Group B	14.02	13.41	0.6078	0.8509	4	4	0.7143	1442
    Group A vs. Group C	14.02	15.34	-1.324	1.042	4	2	1.271	1442
    Group B vs. Group C	13.41	15.34	-1.932	1.042	4	2	1.854	1442
								
  Q0JZN7								
    Group A vs. Group B	15.05	13.82	1.229	0.8509	4	4	1.445	1442
    Group A vs. Group C	15.05	12.64	2.408	1.042	4	2	2.311	1442
    Group B vs. Group C	13.82	12.64	1.179	1.042	4	2	1.131	1442
								
  Q0JZP7								
    Group A vs. Group B	15.34	15.67	-0.3228	0.8509	4	4	0.3793	1442
    Group A vs. Group C	15.34	12.42	2.928	1.042	4	2	2.810	1442
    Group B vs. Group C	15.67	12.42	3.251	1.042	4	2	3.119	1442
								
  Q0JZR4								
    Group A vs. Group B	15.36	13.74	1.622	0.8509	4	4	1.906	1442
    Group A vs. Group C	15.36	11.61	3.751	1.042	4	2	3.600	1442
    Group B vs. Group C	13.74	11.61	2.129	1.042	4	2	2.043	1442
								
  Q0JZZ2								
    Group A vs. Group B	16.34	15.56	0.7799	0.8509	4	4	0.9165	1442
    Group A vs. Group C	16.34	13.92	2.424	1.042	4	2	2.326	1442
    Group B vs. Group C	15.56	13.92	1.645	1.042	4	2	1.578	1442
								
  Q0JZZ3								
    Group A vs. Group B	14.71	12.93	1.786	0.8509	4	4	2.099	1442
    Group A vs. Group C	14.71	12.62	2.092	1.042	4	2	2.007	1442
    Group B vs. Group C	12.93	12.62	0.3061	1.042	4	2	0.2937	1442
								
  Q0K086								
    Group A vs. Group B	14.12	14.02	0.1032	0.8509	4	4	0.1213	1442
    Group A vs. Group C	14.12	14.04	0.08359	1.042	4	2	0.08021	1442
    Group B vs. Group C	14.02	14.04	-0.01960	1.042	4	2	0.01881	1442
								
  Q0K093								
    Group A vs. Group B	15.17	13.66	1.514	0.8509	4	4	1.780	1442
    Group A vs. Group C	15.17	11.99	3.184	1.042	4	2	3.055	1442
    Group B vs. Group C	13.66	11.99	1.670	1.042	4	2	1.602	1442
								
  Q0K0A8;Q0KAU8								
    Group A vs. Group B	15.85	14.63	1.217	0.8509	4	4	1.431	1442
    Group A vs. Group C	15.85	14.06	1.784	1.042	4	2	1.712	1442
    Group B vs. Group C	14.63	14.06	0.5663	1.042	4	2	0.5434	1442
								
  Q0K0D1								
    Group A vs. Group B	13.00	13.11	-0.1038	0.8509	4	4	0.1220	1442
    Group A vs. Group C	13.00	13.78	-0.7823	1.042	4	2	0.7507	1442
    Group B vs. Group C	13.11	13.78	-0.6785	1.042	4	2	0.6510	1442
								
  Q0K0F5								
    Group A vs. Group B	15.82	13.90	1.922	0.8509	4	4	2.259	1442
    Group A vs. Group C	15.82	11.98	3.841	1.042	4	2	3.685	1442
    Group B vs. Group C	13.90	11.98	1.918	1.042	4	2	1.841	1442
								
  Q0K0Q7								
    Group A vs. Group B	15.87	13.29	2.573	0.8509	4	4	3.024	1442
    Group A vs. Group C	15.87	13.00	2.870	1.042	4	2	2.754	1442
    Group B vs. Group C	13.29	13.00	0.2972	1.042	4	2	0.2852	1442
								
  Q0K0Q8								
    Group A vs. Group B	16.61	13.69	2.912	0.8509	4	4	3.423	1442
    Group A vs. Group C	16.61	13.33	3.275	1.042	4	2	3.143	1442
    Group B vs. Group C	13.69	13.33	0.3627	1.042	4	2	0.3480	1442
								
  Q0K0R2								
    Group A vs. Group B	16.39	14.92	1.465	0.8509	4	4	1.721	1442
    Group A vs. Group C	16.39	14.45	1.936	1.042	4	2	1.858	1442
    Group B vs. Group C	14.92	14.45	0.4715	1.042	4	2	0.4524	1442
								
  Q0K0V0								
    Group A vs. Group B	18.47	17.81	0.6521	0.8509	4	4	0.7663	1442
    Group A vs. Group C	18.47	12.56	5.901	1.042	4	2	5.662	1442
    Group B vs. Group C	17.81	12.56	5.249	1.042	4	2	5.037	1442
								
  Q0K120								
    Group A vs. Group B	13.74	15.03	-1.290	0.8509	4	4	1.516	1442
    Group A vs. Group C	13.74	12.68	1.055	1.042	4	2	1.012	1442
    Group B vs. Group C	15.03	12.68	2.345	1.042	4	2	2.250	1442
								
  Q0K178								
    Group A vs. Group B	15.67	13.75	1.913	0.8509	4	4	2.249	1442
    Group A vs. Group C	15.67	12.26	3.409	1.042	4	2	3.271	1442
    Group B vs. Group C	13.75	12.26	1.496	1.042	4	2	1.435	1442
								
  Q0K1F8								
    Group A vs. Group B	17.30	16.78	0.5221	0.8509	4	4	0.6136	1442
    Group A vs. Group C	17.30	16.86	0.4429	1.042	4	2	0.4250	1442
    Group B vs. Group C	16.78	16.86	-0.07925	1.042	4	2	0.07605	1442
								
  Q0K1I3								
    Group A vs. Group B	19.77	18.83	0.9395	0.8509	4	4	1.104	1442
    Group A vs. Group C	19.77	20.30	-0.5313	1.042	4	2	0.5098	1442
    Group B vs. Group C	18.83	20.30	-1.471	1.042	4	2	1.411	1442
								
  Q0K1J5								
    Group A vs. Group B	14.62	12.89	1.732	0.8509	4	4	2.035	1442
    Group A vs. Group C	14.62	12.04	2.578	1.042	4	2	2.473	1442
    Group B vs. Group C	12.89	12.04	0.8456	1.042	4	2	0.8114	1442
								
  Q0K1Q3								
    Group A vs. Group B	14.05	13.33	0.7154	0.8509	4	4	0.8407	1442
    Group A vs. Group C	14.05	13.51	0.5384	1.042	4	2	0.5166	1442
    Group B vs. Group C	13.33	13.51	-0.1769	1.042	4	2	0.1698	1442
								
  Q0K1Q5								
    Group A vs. Group B	17.55	15.58	1.969	0.8509	4	4	2.314	1442
    Group A vs. Group C	17.55	14.53	3.017	1.042	4	2	2.895	1442
    Group B vs. Group C	15.58	14.53	1.048	1.042	4	2	1.006	1442
								
  Q0K1V8								
    Group A vs. Group B	14.15	14.46	-0.3117	0.8509	4	4	0.3663	1442
    Group A vs. Group C	14.15	12.18	1.975	1.042	4	2	1.895	1442
    Group B vs. Group C	14.46	12.18	2.287	1.042	4	2	2.194	1442
								
  Q0K1Y1								
    Group A vs. Group B	14.28	15.59	-1.317	0.8509	4	4	1.547	1442
    Group A vs. Group C	14.28	13.15	1.127	1.042	4	2	1.081	1442
    Group B vs. Group C	15.59	13.15	2.444	1.042	4	2	2.345	1442
								
  Q0K1Y6								
    Group A vs. Group B	17.10	14.70	2.396	0.8509	4	4	2.816	1442
    Group A vs. Group C	17.10	13.62	3.479	1.042	4	2	3.338	1442
    Group B vs. Group C	14.70	13.62	1.082	1.042	4	2	1.038	1442
								
  Q0K1Z0								
    Group A vs. Group B	16.21	13.46	2.752	0.8509	4	4	3.234	1442
    Group A vs. Group C	16.21	11.70	4.505	1.042	4	2	4.323	1442
    Group B vs. Group C	13.46	11.70	1.753	1.042	4	2	1.683	1442
								
  Q0K1Z3								
    Group A vs. Group B	15.55	13.96	1.584	0.8509	4	4	1.861	1442
    Group A vs. Group C	15.55	12.87	2.674	1.042	4	2	2.566	1442
    Group B vs. Group C	13.96	12.87	1.090	1.042	4	2	1.046	1442
								
  Q0K1Z4								
    Group A vs. Group B	16.72	12.85	3.875	0.8509	4	4	4.553	1442
    Group A vs. Group C	16.72	13.83	2.898	1.042	4	2	2.781	1442
    Group B vs. Group C	12.85	13.83	-0.9769	1.042	4	2	0.9374	1442
								
  Q0K280								
    Group A vs. Group B	15.14	14.93	0.2087	0.8509	4	4	0.2453	1442
    Group A vs. Group C	15.14	13.06	2.082	1.042	4	2	1.998	1442
    Group B vs. Group C	14.93	13.06	1.873	1.042	4	2	1.797	1442
								
  Q0K281								
    Group A vs. Group B	13.09	13.44	-0.3448	0.8509	4	4	0.4052	1442
    Group A vs. Group C	13.09	11.11	1.982	1.042	4	2	1.902	1442
    Group B vs. Group C	13.44	11.11	2.327	1.042	4	2	2.233	1442
								
  Q0K2F7								
    Group A vs. Group B	15.66	15.51	0.1452	0.8509	4	4	0.1707	1442
    Group A vs. Group C	15.66	13.41	2.241	1.042	4	2	2.150	1442
    Group B vs. Group C	15.51	13.41	2.096	1.042	4	2	2.011	1442
								
  Q0K2F8								
    Group A vs. Group B	14.86	15.41	-0.5535	0.8509	4	4	0.6505	1442
    Group A vs. Group C	14.86	13.75	1.103	1.042	4	2	1.059	1442
    Group B vs. Group C	15.41	13.75	1.657	1.042	4	2	1.590	1442
								
  Q0K2G7								
    Group A vs. Group B	16.48	15.80	0.6802	0.8509	4	4	0.7994	1442
    Group A vs. Group C	16.48	15.70	0.7769	1.042	4	2	0.7455	1442
    Group B vs. Group C	15.80	15.70	0.09670	1.042	4	2	0.09279	1442
								
  Q0K2I3								
    Group A vs. Group B	15.37	15.37	0.0004849	0.8509	4	4	0.0005699	1442
    Group A vs. Group C	15.37	12.39	2.986	1.042	4	2	2.865	1442
    Group B vs. Group C	15.37	12.39	2.985	1.042	4	2	2.865	1442
								
  Q0K2J7								
    Group A vs. Group B	14.25	13.54	0.7035	0.8509	4	4	0.8268	1442
    Group A vs. Group C	14.25	13.52	0.7250	1.042	4	2	0.6957	1442
    Group B vs. Group C	13.54	13.52	0.02146	1.042	4	2	0.02059	1442
								
  Q0K2M1								
    Group A vs. Group B	14.61	14.83	-0.2180	0.8509	4	4	0.2561	1442
    Group A vs. Group C	14.61	10.52	4.090	1.042	4	2	3.925	1442
    Group B vs. Group C	14.83	10.52	4.308	1.042	4	2	4.134	1442
								
  Q0K2N8								
    Group A vs. Group B	17.05	14.42	2.632	0.8509	4	4	3.093	1442
    Group A vs. Group C	17.05	14.85	2.201	1.042	4	2	2.112	1442
    Group B vs. Group C	14.42	14.85	-0.4307	1.042	4	2	0.4133	1442
								
  Q0K2Q6								
    Group A vs. Group B	15.08	14.51	0.5692	0.8509	4	4	0.6689	1442
    Group A vs. Group C	15.08	14.33	0.7564	1.042	4	2	0.7258	1442
    Group B vs. Group C	14.51	14.33	0.1872	1.042	4	2	0.1797	1442
								
  Q0K2Q7								
    Group A vs. Group B	16.03	13.36	2.669	0.8509	4	4	3.136	1442
    Group A vs. Group C	16.03	14.88	1.148	1.042	4	2	1.101	1442
    Group B vs. Group C	13.36	14.88	-1.521	1.042	4	2	1.459	1442
								
  Q0K2S4								
    Group A vs. Group B	15.62	14.93	0.6862	0.8509	4	4	0.8064	1442
    Group A vs. Group C	15.62	14.72	0.9002	1.042	4	2	0.8638	1442
    Group B vs. Group C	14.93	14.72	0.2140	1.042	4	2	0.2053	1442
								
  Q0K2T2								
    Group A vs. Group B	13.73	14.17	-0.4404	0.8509	4	4	0.5176	1442
    Group A vs. Group C	13.73	13.55	0.1719	1.042	4	2	0.1650	1442
    Group B vs. Group C	14.17	13.55	0.6123	1.042	4	2	0.5876	1442
								
  Q0K2U7								
    Group A vs. Group B	16.33	14.60	1.728	0.8509	4	4	2.031	1442
    Group A vs. Group C	16.33	13.29	3.039	1.042	4	2	2.916	1442
    Group B vs. Group C	14.60	13.29	1.311	1.042	4	2	1.258	1442
								
  Q0K2V6								
    Group A vs. Group B	14.02	13.32	0.6999	0.8509	4	4	0.8225	1442
    Group A vs. Group C	14.02	14.41	-0.3861	1.042	4	2	0.3705	1442
    Group B vs. Group C	13.32	14.41	-1.086	1.042	4	2	1.042	1442
								
  Q0K312								
    Group A vs. Group B	16.22	15.59	0.6262	0.8509	4	4	0.7359	1442
    Group A vs. Group C	16.22	15.19	1.029	1.042	4	2	0.9871	1442
    Group B vs. Group C	15.59	15.19	0.4026	1.042	4	2	0.3863	1442
								
  Q0K313								
    Group A vs. Group B	17.24	16.51	0.7246	0.8509	4	4	0.8515	1442
    Group A vs. Group C	17.24	15.03	2.208	1.042	4	2	2.119	1442
    Group B vs. Group C	16.51	15.03	1.484	1.042	4	2	1.424	1442
								
  Q0K324								
    Group A vs. Group B	13.81	13.23	0.5782	0.8509	4	4	0.6795	1442
    Group A vs. Group C	13.81	14.05	-0.2423	1.042	4	2	0.2325	1442
    Group B vs. Group C	13.23	14.05	-0.8204	1.042	4	2	0.7872	1442
								
  Q0K335								
    Group A vs. Group B	15.60	13.06	2.534	0.8509	4	4	2.978	1442
    Group A vs. Group C	15.60	11.54	4.055	1.042	4	2	3.891	1442
    Group B vs. Group C	13.06	11.54	1.520	1.042	4	2	1.459	1442
								
  Q0K338								
    Group A vs. Group B	20.42	18.06	2.360	0.8509	4	4	2.774	1442
    Group A vs. Group C	20.42	17.23	3.189	1.042	4	2	3.060	1442
    Group B vs. Group C	18.06	17.23	0.8289	1.042	4	2	0.7954	1442
								
  Q0K3B3								
    Group A vs. Group B	15.55	14.69	0.8689	0.8509	4	4	1.021	1442
    Group A vs. Group C	15.55	12.90	2.651	1.042	4	2	2.544	1442
    Group B vs. Group C	14.69	12.90	1.782	1.042	4	2	1.710	1442
								
  Q0K3B9								
    Group A vs. Group B	15.32	14.16	1.164	0.8509	4	4	1.369	1442
    Group A vs. Group C	15.32	14.14	1.176	1.042	4	2	1.128	1442
    Group B vs. Group C	14.16	14.14	0.01152	1.042	4	2	0.01105	1442
								
  Q0K3L0								
    Group A vs. Group B	14.08	12.28	1.797	0.8509	4	4	2.112	1442
    Group A vs. Group C	14.08	13.39	0.6882	1.042	4	2	0.6603	1442
    Group B vs. Group C	12.28	13.39	-1.109	1.042	4	2	1.064	1442
								
  Q0K3M2								
    Group A vs. Group B	13.94	13.47	0.4783	0.8509	4	4	0.5621	1442
    Group A vs. Group C	13.94	13.07	0.8744	1.042	4	2	0.8391	1442
    Group B vs. Group C	13.47	13.07	0.3961	1.042	4	2	0.3801	1442
								
  Q0K3M5								
    Group A vs. Group B	14.63	13.17	1.457	0.8509	4	4	1.712	1442
    Group A vs. Group C	14.63	12.48	2.142	1.042	4	2	2.055	1442
    Group B vs. Group C	13.17	12.48	0.6848	1.042	4	2	0.6571	1442
								
  Q0K3W4								
    Group A vs. Group B	15.81	14.77	1.038	0.8509	4	4	1.220	1442
    Group A vs. Group C	15.81	12.34	3.472	1.042	4	2	3.332	1442
    Group B vs. Group C	14.77	12.34	2.434	1.042	4	2	2.335	1442
								
  Q0K409								
    Group A vs. Group B	17.19	15.13	2.066	0.8509	4	4	2.428	1442
    Group A vs. Group C	17.19	11.21	5.985	1.042	4	2	5.743	1442
    Group B vs. Group C	15.13	11.21	3.919	1.042	4	2	3.760	1442
								
  Q0K410								
    Group A vs. Group B	17.18	15.97	1.206	0.8509	4	4	1.417	1442
    Group A vs. Group C	17.18	14.01	3.174	1.042	4	2	3.045	1442
    Group B vs. Group C	15.97	14.01	1.968	1.042	4	2	1.888	1442
								
  Q0K418								
    Group A vs. Group B	14.46	13.55	0.9163	0.8509	4	4	1.077	1442
    Group A vs. Group C	14.46	14.02	0.4424	1.042	4	2	0.4245	1442
    Group B vs. Group C	13.55	14.02	-0.4739	1.042	4	2	0.4547	1442
								
  Q0K4C2								
    Group A vs. Group B	15.02	13.05	1.973	0.8509	4	4	2.319	1442
    Group A vs. Group C	15.02	15.44	-0.4195	1.042	4	2	0.4025	1442
    Group B vs. Group C	13.05	15.44	-2.392	1.042	4	2	2.296	1442
								
  Q0K4R0								
    Group A vs. Group B	13.39	15.71	-2.321	0.8509	4	4	2.727	1442
    Group A vs. Group C	13.39	14.70	-1.315	1.042	4	2	1.261	1442
    Group B vs. Group C	15.71	14.70	1.006	1.042	4	2	0.9655	1442
								
  Q0K4U2								
    Group A vs. Group B	14.34	13.56	0.7706	0.8509	4	4	0.9057	1442
    Group A vs. Group C	14.34	12.45	1.888	1.042	4	2	1.812	1442
    Group B vs. Group C	13.56	12.45	1.117	1.042	4	2	1.072	1442
								
  Q0K4V1								
    Group A vs. Group B	14.55	13.87	0.6778	0.8509	4	4	0.7966	1442
    Group A vs. Group C	14.55	13.15	1.399	1.042	4	2	1.343	1442
    Group B vs. Group C	13.87	13.15	0.7215	1.042	4	2	0.6924	1442
								
  Q0K541								
    Group A vs. Group B	13.43	16.17	-2.739	0.8509	4	4	3.219	1442
    Group A vs. Group C	13.43	15.25	-1.823	1.042	4	2	1.750	1442
    Group B vs. Group C	16.17	15.25	0.9155	1.042	4	2	0.8785	1442
								
  Q0K553								
    Group A vs. Group B	14.27	15.31	-1.039	0.8509	4	4	1.221	1442
    Group A vs. Group C	14.27	13.58	0.6889	1.042	4	2	0.6611	1442
    Group B vs. Group C	15.31	13.58	1.728	1.042	4	2	1.658	1442
								
  Q0K556								
    Group A vs. Group B	15.05	15.14	-0.08303	0.8509	4	4	0.09758	1442
    Group A vs. Group C	15.05	9.045	6.007	1.042	4	2	5.764	1442
    Group B vs. Group C	15.14	9.045	6.090	1.042	4	2	5.844	1442
								
  Q0K5B2								
    Group A vs. Group B	14.12	12.78	1.342	0.8509	4	4	1.577	1442
    Group A vs. Group C	14.12	15.37	-1.248	1.042	4	2	1.197	1442
    Group B vs. Group C	12.78	15.37	-2.589	1.042	4	2	2.485	1442
								
  Q0K5E2								
    Group A vs. Group B	16.88	14.89	1.991	0.8509	4	4	2.340	1442
    Group A vs. Group C	16.88	14.28	2.602	1.042	4	2	2.497	1442
    Group B vs. Group C	14.89	14.28	0.6114	1.042	4	2	0.5866	1442
								
  Q0K5F6								
    Group A vs. Group B	16.39	16.16	0.2311	0.8509	4	4	0.2716	1442
    Group A vs. Group C	16.39	16.32	0.06702	1.042	4	2	0.06431	1442
    Group B vs. Group C	16.16	16.32	-0.1640	1.042	4	2	0.1574	1442
								
  Q0K5G3								
    Group A vs. Group B	14.74	13.02	1.724	0.8509	4	4	2.027	1442
    Group A vs. Group C	14.74	12.45	2.290	1.042	4	2	2.197	1442
    Group B vs. Group C	13.02	12.45	0.5651	1.042	4	2	0.5422	1442
								
  Q0K5K0								
    Group A vs. Group B	17.31	15.02	2.293	0.8509	4	4	2.695	1442
    Group A vs. Group C	17.31	13.85	3.462	1.042	4	2	3.322	1442
    Group B vs. Group C	15.02	13.85	1.169	1.042	4	2	1.122	1442
								
  Q0K5L1								
    Group A vs. Group B	15.50	16.86	-1.358	0.8509	4	4	1.596	1442
    Group A vs. Group C	15.50	14.09	1.413	1.042	4	2	1.356	1442
    Group B vs. Group C	16.86	14.09	2.771	1.042	4	2	2.659	1442
								
  Q0K5L2								
    Group A vs. Group B	14.30	13.06	1.245	0.8509	4	4	1.463	1442
    Group A vs. Group C	14.30	12.10	2.199	1.042	4	2	2.110	1442
    Group B vs. Group C	13.06	12.10	0.9542	1.042	4	2	0.9156	1442
								
  Q0K5P2								
    Group A vs. Group B	16.18	16.46	-0.2751	0.8509	4	4	0.3233	1442
    Group A vs. Group C	16.18	16.54	-0.3586	1.042	4	2	0.3441	1442
    Group B vs. Group C	16.46	16.54	-0.08350	1.042	4	2	0.08013	1442
								
  Q0K5P7								
    Group A vs. Group B	14.14	12.97	1.170	0.8509	4	4	1.375	1442
    Group A vs. Group C	14.14	12.38	1.754	1.042	4	2	1.683	1442
    Group B vs. Group C	12.97	12.38	0.5838	1.042	4	2	0.5602	1442
								
  Q0K616								
    Group A vs. Group B	17.33	13.91	3.422	0.8509	4	4	4.022	1442
    Group A vs. Group C	17.33	15.05	2.283	1.042	4	2	2.190	1442
    Group B vs. Group C	13.91	15.05	-1.140	1.042	4	2	1.094	1442
								
  Q0K639								
    Group A vs. Group B	16.92	14.42	2.501	0.8509	4	4	2.939	1442
    Group A vs. Group C	16.92	15.84	1.077	1.042	4	2	1.034	1442
    Group B vs. Group C	14.42	15.84	-1.424	1.042	4	2	1.366	1442
								
  Q0K675								
    Group A vs. Group B	15.81	14.97	0.8341	0.8509	4	4	0.9803	1442
    Group A vs. Group C	15.81	11.28	4.527	1.042	4	2	4.344	1442
    Group B vs. Group C	14.97	11.28	3.693	1.042	4	2	3.544	1442
								
  Q0K6D4								
    Group A vs. Group B	15.84	15.94	-0.1019	0.8509	4	4	0.1197	1442
    Group A vs. Group C	15.84	16.04	-0.2024	1.042	4	2	0.1942	1442
    Group B vs. Group C	15.94	16.04	-0.1005	1.042	4	2	0.09648	1442
								
  Q0K6E4								
    Group A vs. Group B	14.81	15.16	-0.3533	0.8509	4	4	0.4152	1442
    Group A vs. Group C	14.81	13.35	1.459	1.042	4	2	1.400	1442
    Group B vs. Group C	15.16	13.35	1.812	1.042	4	2	1.739	1442
								
  Q0K6E5								
    Group A vs. Group B	12.11	14.76	-2.656	0.8509	4	4	3.121	1442
    Group A vs. Group C	12.11	12.19	-0.08555	1.042	4	2	0.08209	1442
    Group B vs. Group C	14.76	12.19	2.570	1.042	4	2	2.466	1442
								
  Q0K6F1								
    Group A vs. Group B	17.02	16.61	0.4072	0.8509	4	4	0.4786	1442
    Group A vs. Group C	17.02	16.25	0.7697	1.042	4	2	0.7385	1442
    Group B vs. Group C	16.61	16.25	0.3625	1.042	4	2	0.3478	1442
								
  Q0K6F8								
    Group A vs. Group B	14.15	15.67	-1.519	0.8509	4	4	1.785	1442
    Group A vs. Group C	14.15	12.26	1.890	1.042	4	2	1.813	1442
    Group B vs. Group C	15.67	12.26	3.409	1.042	4	2	3.271	1442
								
  Q0K6G8								
    Group A vs. Group B	15.58	13.40	2.180	0.8509	4	4	2.562	1442
    Group A vs. Group C	15.58	12.67	2.917	1.042	4	2	2.799	1442
    Group B vs. Group C	13.40	12.67	0.7365	1.042	4	2	0.7067	1442
								
  Q0K6H4								
    Group A vs. Group B	15.13	13.38	1.755	0.8509	4	4	2.062	1442
    Group A vs. Group C	15.13	12.99	2.145	1.042	4	2	2.058	1442
    Group B vs. Group C	13.38	12.99	0.3899	1.042	4	2	0.3742	1442
								
  Q0K6K6								
    Group A vs. Group B	16.99	15.67	1.318	0.8509	4	4	1.549	1442
    Group A vs. Group C	16.99	13.18	3.808	1.042	4	2	3.654	1442
    Group B vs. Group C	15.67	13.18	2.490	1.042	4	2	2.389	1442
								
  Q0K6L0								
    Group A vs. Group B	14.79	15.04	-0.2460	0.8509	4	4	0.2891	1442
    Group A vs. Group C	14.79	13.05	1.744	1.042	4	2	1.674	1442
    Group B vs. Group C	15.04	13.05	1.990	1.042	4	2	1.910	1442
								
  Q0K6L3								
    Group A vs. Group B	16.77	13.15	3.625	0.8509	4	4	4.260	1442
    Group A vs. Group C	16.77	12.60	4.167	1.042	4	2	3.999	1442
    Group B vs. Group C	13.15	12.60	0.5421	1.042	4	2	0.5202	1442
								
  Q0K6L7								
    Group A vs. Group B	14.09	14.40	-0.3093	0.8509	4	4	0.3635	1442
    Group A vs. Group C	14.09	11.46	2.630	1.042	4	2	2.524	1442
    Group B vs. Group C	14.40	11.46	2.939	1.042	4	2	2.821	1442
								
  Q0K6Y1								
    Group A vs. Group B	14.75	15.80	-1.055	0.8509	4	4	1.240	1442
    Group A vs. Group C	14.75	15.49	-0.7441	1.042	4	2	0.7140	1442
    Group B vs. Group C	15.80	15.49	0.3112	1.042	4	2	0.2987	1442
								
  Q0K728								
    Group A vs. Group B	16.60	15.74	0.8581	0.8509	4	4	1.008	1442
    Group A vs. Group C	16.60	16.00	0.6012	1.042	4	2	0.5769	1442
    Group B vs. Group C	15.74	16.00	-0.2569	1.042	4	2	0.2465	1442
								
  Q0K771								
    Group A vs. Group B	14.17	16.29	-2.124	0.8509	4	4	2.496	1442
    Group A vs. Group C	14.17	14.30	-0.1320	1.042	4	2	0.1266	1442
    Group B vs. Group C	16.29	14.30	1.992	1.042	4	2	1.911	1442
								
  Q0K772								
    Group A vs. Group B	14.51	15.22	-0.7143	0.8509	4	4	0.8394	1442
    Group A vs. Group C	14.51	13.04	1.471	1.042	4	2	1.411	1442
    Group B vs. Group C	15.22	13.04	2.185	1.042	4	2	2.096	1442
								
  Q0K7F4								
    Group A vs. Group B	14.49	14.62	-0.1253	0.8509	4	4	0.1473	1442
    Group A vs. Group C	14.49	12.28	2.210	1.042	4	2	2.121	1442
    Group B vs. Group C	14.62	12.28	2.336	1.042	4	2	2.241	1442
								
  Q0K7I4								
    Group A vs. Group B	16.10	14.95	1.150	0.8509	4	4	1.352	1442
    Group A vs. Group C	16.10	13.63	2.470	1.042	4	2	2.370	1442
    Group B vs. Group C	14.95	13.63	1.319	1.042	4	2	1.266	1442
								
  Q0K7I7								
    Group A vs. Group B	17.36	17.15	0.2098	0.8509	4	4	0.2465	1442
    Group A vs. Group C	17.36	13.65	3.718	1.042	4	2	3.567	1442
    Group B vs. Group C	17.15	13.65	3.508	1.042	4	2	3.366	1442
								
  Q0K7P7								
    Group A vs. Group B	12.87	14.22	-1.349	0.8509	4	4	1.586	1442
    Group A vs. Group C	12.87	11.91	0.9559	1.042	4	2	0.9173	1442
    Group B vs. Group C	14.22	11.91	2.305	1.042	4	2	2.212	1442
								
  Q0K7Q8								
    Group A vs. Group B	14.65	13.74	0.9113	0.8509	4	4	1.071	1442
    Group A vs. Group C	14.65	12.41	2.241	1.042	4	2	2.151	1442
    Group B vs. Group C	13.74	12.41	1.330	1.042	4	2	1.276	1442
								
  Q0K7R6								
